F,01,Y,01,0,0,-1
F,02,Y,02,0,0,-1
F,03,Y,03,0,0,-1
F,04,Y,04,0,0,-1
F,05,Y,05,0,0,-1
F,06,Y,06,0,0,-1
F,07,Y,07,0,0,-1
F,08,Y,08,0,0,-1
F,09,Y,09,0,0,-1
F,09,M,25,0,0,-1
F,12,E,02,0,0,-1
F,13,S,02,0,0,-1
F,13,M,09,0,0,-1
F,15,C,03,0,0,-1
F,16,G,01,0,0,-1
F,16,Z,01,0,0,-1
Z,01,G,01,0,0,-1
C,04,G,02,0,0,-1
C,04,Z,02,0,0,-1
Z,02,G,02,0,0,-1
C,07,M,14,0,0,-1
C,07,N,06,0,0,-1
C,07,G,06,0,0,-1
M,14,N,06,0,0,-1
M,14,G,06,0,0,-1
N,06,G,06,0,0,-1
M,15,H,06,0,0,-1
M,15,C,08,0,0,-1
C,08,H,06,0,0,-1
I,08,C,09,0,0,-1
I,08,H,07,0,0,-1
I,08,Y,18,0,0,-1
C,09,H,07,0,0,-1
C,09,Y,18,0,0,-1
H,07,Y,18,0,0,-1
I,09,C,11,0,0,-1
I,09,M,18,0,0,-1
I,09,Z,08,0,0,-1
C,11,M,18,0,0,-1
C,11,Z,08,0,0,-1
M,18,Z,08,0,0,-1
C,12,S,07,0,0,-1
C,12,M,19,0,0,-1
S,07,M,19,0,0,-1
I,01,N,01,0,0,-1
I,02,N,01,0,0,-1
I,03,N,01,0,0,-1
S,06,I,10,0,0,-1
S,06,Z,07,0,0,-1
I,10,Z,07,0,0,-1
I,12,E,07,0,0,-1
I,12,N,11,0,0,-1
I,12,M,22,0,0,-1
E,07,N,11,0,0,-1
E,07,M,11,0,0,-1
N,11,M,11,0,0,-1
N,04,E,22,0,0,-1
H,04,E,23,0,0,-1
E,24,Z,03,0,0,-1
E,24,G,04,0,0,-1
G,04,Z,03,0,0,-1
G,05,M,13,0,0,-1
G,05,N,07,0,0,-1
G,05,Z,04,0,0,-1
G,05,Y,16,0,0,-1
M,13,N,07,0,0,-1
M,13,Z,04,0,0,-1
M,13,Y,16,0,0,-1
N,07,Z,04,0,0,-1
N,07,Y,16,0,0,-1
Z,04,Y,16,0,0,-1
S,05,Z,06,0,0,-1
S,05,T,07,0,0,-1
T,07,Z,06,0,0,-1
S,04,Y,14,0,0,-1
S,04,N,09,0,0,-1
N,09,Y,14,0,0,-1
E,06,T,06,0,0,-1
E,06,Y,13,0,0,-1
E,06,N,10,0,0,-1
T,06,Y,13,0,0,-1
T,06,N,10,0,0,-1
Y,13,N,10,0,0,-1
E,01,S,01,0,0,-1
E,01,M,08,0,0,-1
E,01,E,27,0,0,-1
S,01,M,08,0,0,-1
S,01,E,27,0,0,-1
M,08,E,27,0,0,-1
I,04,A,08,0,0,-1
A,09,E,20,0,0,-1
A,10,G,08,0,0,-1
M,16,H,08,0,0,-1
M,16,G,09,0,0,-1
G,09,H,08,0,0,-1
A,11,H,09,0,0,-1
M,12,N,08,0,0,-1
E,08,M,21,2,0,-1
G,11,T,10,0,0,-1
G,11,A,13,0,0,-1
A,13,T,10,0,0,-1
G,12,Z,09,0,0,-1
H,12,T,11,0,0,-1
E,15,T,12,0,0,-1
E,14,Z,11,0,0,-1
S,11,E,13,0,0,-1
A,17,E,11,2,0,-1
Y,21,E,16,0,0,-1
Z,12,S,13,0,0,-1
A,20,Z,14,0,0,-1
G,19,A,18,0,0,-1
G,16,H,17,0,0,-1
E,09,G,15,0,0,-1
E,09,H,16,0,0,-1
H,16,G,15,0,0,-1
S,08,H,15,0,0,-1
A,15,S,09,0,0,-1
A,14,H,13,0,0,-1
H,21,C,18,0,0,-1
E,01,E,28,1,0.8,-1
Mb,05,M,06,1,1.3,-1
H,22,C,18,0,0,-1
